"club_id","language_id","name","lorebook_id","extra_key_words"
"14","5","Library Committee","500149","{""long"": [""your club""]}"
"15","5","After-School Sweets Club","500127","{""long"": [""your club""]}"
"16","5","Trinity's Vigilante Crew","",""
"17","5","Make-Up Work Club","500053","{""long"": [""your club""]}"
"18","5","Seminar","500054","{""long"": [""your club""]}"
"19","5","Veritas","",""
"20","5","Cleaning&Clearing","500125","{""long"": [""your club""]}"
"21","5","Super Phenomenon Task Force","",""
"22","5","Engineering Club","500103","{""long"": [""your club""]}"
"23","5","Athletics Training Club","",""
"24","5","Game Development Department","500055","{""long"": [""your club""]}"
"25","5","Genryumon","",""
"26","5","Black Tortoise Promenade","",""
"27","5","Plum Blossom Garden","500123","{""long"": [""your club""]}"
"28","5","Red Winter Office","",""
"29","5","Labor Party","",""
"30","5","Spec Ops No. 227","",""
"31","5","FOX Squad","",""
"32","5","Arius Squad","500056","{""long"": [""your club"", ""your squad"", ""your team""]}"
"33","5","Public Safety Bureau","",""
"34","5","Public Peace Bureau","",""
"35","5","Yin-Yang Club","500104","{""long"": [""your club""]}"
"36","5","Festival Operations Department","500150","{""long"": [""your club""]}"
"37","5","Inner Discipline Club","",""
"38","5","Ninjutsu Research Club","500057","{""long"": [""your club""]}"
"39","5","Central Control Center","500131","{""long"": [""your club""]}"
